"","Species","Common_name","Begin_study_date","End_study_date","Life_history_process","sex","Fucntional_form","Value","Units","Parameter_name","Sample_size","Method","Large_marine_ecosystem","More_specific_location","Reference"
"1","Larimichthys crocea","Large yellow croaker",2010,2011,"growth","both","von Bertalanffy",385.4,"mm","Linf","2098","ELEFAN","South China Sea","Guanjingyang sea","Ye, JQ et al 2012 Resource status analysis of large yellow croaker in Guanjingyang using von Bertalanffy growth equation and fishing mortality parameters. Jounral of Fisheries of China. 36(2)."
"2","Larimichthys crocea","Large yellow croaker",2010,2011,"growth","both","von Bertalanffy",0.43,"NA","k","2098","ELEFAN","South China Sea","Guanjingyang sea","Ye, JQ et al 2012 Resource status analysis of large yellow croaker in Guanjingyang using von Bertalanffy growth equation and fishing mortality parameters. Jounral of Fisheries of China. 36(2)."
"3","Larimichthys crocea","Large yellow croaker",2010,2011,"growth","both","von Bertalanffy",-0.32,"NA","t0","2098","ELEFAN","South China Sea","Guanjingyang sea","Ye, JQ et al 2012 Resource status analysis of large yellow croaker in Guanjingyang using von Bertalanffy growth equation and fishing mortality parameters. Jounral of Fisheries of China. 36(2)."
"4","Larimichthys crocea","Large yellow croaker",2010,2011,"natural mortality","both","Pauly's empirical equation",0.45,"NA","M","2098","NA","South China Sea","Guanjingyang sea","Ye, JQ et al 2012 Resource status analysis of large yellow croaker in Guanjingyang using von Bertalanffy growth equation and fishing mortality parameters. Jounral of Fisheries of China. 36(2)."
"5","Larimichthys crocea","Large yellow croaker",2010,2011,"natural mortality","both","Pauly's empirical equation",21.3,"°C","T","2098","NA","South China Sea","Guanjingyang sea","Ye, JQ et al 2012 Resource status analysis of large yellow croaker in Guanjingyang using von Bertalanffy growth equation and fishing mortality parameters. Jounral of Fisheries of China. 36(2)."
"6","Larimichthys crocea","Large yellow croaker",2010,2011,"weight at length","both","power function",2e-05,"NA","a","2098","NA","South China Sea","Guanjingyang sea","Ye, JQ et al 2012 Resource status analysis of large yellow croaker in Guanjingyang using von Bertalanffy growth equation and fishing mortality parameters. Jounral of Fisheries of China. 36(2)."
"7","Larimichthys crocea","Large yellow croaker",2010,2011,"weight at length","both","power function",3.006,"NA","b","2098","NA","South China Sea","Guanjingyang sea","Ye, JQ et al 2012 Resource status analysis of large yellow croaker in Guanjingyang using von Bertalanffy growth equation and fishing mortality parameters. Jounral of Fisheries of China. 36(2)."
"8","Larimichthys crocea","Large yellow croaker",2010,2011,"age at maturity","both","NA",1,"y","NA","2098","NA","South China Sea","Guanjingyang sea","Ye, JQ et al 2012 Resource status analysis of large yellow croaker in Guanjingyang using von Bertalanffy growth equation and fishing mortality parameters. Jounral of Fisheries of China. 36(2)."
"9","Larimichthys crocea","Large yellow croaker",2010,2011,"total mortality","both","NA",3.12,"NA","Z","2098","length-converted catch curve","South China Sea","Guanjingyang sea","Ye, JQ et al 2012 Resource status analysis of large yellow croaker in Guanjingyang using von Bertalanffy growth equation and fishing mortality parameters. Jounral of Fisheries of China. 36(2)."
"10","Larimichthys crocea","Large yellow croaker",2010,2011,"fishing mortality","both","NA",2.67,"NA","F","2098","NA","South China Sea","Guanjingyang sea","Ye, JQ et al 2012 Resource status analysis of large yellow croaker in Guanjingyang using von Bertalanffy growth equation and fishing mortality parameters. Jounral of Fisheries of China. 36(2)."
"11","Larimichthys crocea","Large yellow croaker",2010,2011,"exploitation rate","both","NA",0.856,"NA","E","2098","NA","South China Sea","Guanjingyang sea","Ye, JQ et al 2012 Resource status analysis of large yellow croaker in Guanjingyang using von Bertalanffy growth equation and fishing mortality parameters. Jounral of Fisheries of China. 36(2)."
"12","Thamnaconus modestus","Black scraper",2009,2010,"weight at length","both","power function",1.1e-05,"NA","a","645","NA","Southern Sea of Korea","Geoje and Jeju Islands","Kim, JH et al 2010 Age, growth and reproductive biology of Filefish Thamnaconus modestus in the Southern Sea of Korea. North Pacific Marine Science Organization. PICES 2010."
"13","Thamnaconus modestus","Black scraper",2009,2010,"weight at length","both","power function",3.073,"NA","b","645","NA","Southern Sea of Korea","Geoje and Jeju Islands","Kim, JH et al 2010 Age, growth and reproductive biology of Filefish Thamnaconus modestus in the Southern Sea of Korea. North Pacific Marine Science Organization. PICES 2010."
"14","Thamnaconus modestus","Black scraper",2009,2010,"growth","both","von Bertalanffy",393.4,"mm","Linf","645","NA","Southern Sea of Korea","Geoje and Jeju Islands","Kim, JH et al 2010 Age, growth and reproductive biology of Filefish Thamnaconus modestus in the Southern Sea of Korea. North Pacific Marine Science Organization. PICES 2010."
"15","Thamnaconus modestus","Black scraper",2009,2010,"growth","both","von Bertalanffy",0.38,"NA","k","645","NA","Southern Sea of Korea","Geoje and Jeju Islands","Kim, JH et al 2010 Age, growth and reproductive biology of Filefish Thamnaconus modestus in the Southern Sea of Korea. North Pacific Marine Science Organization. PICES 2010."
"16","Thamnaconus modestus","Black scraper",2009,2010,"growth","both","von Bertalanffy",-0.92,"NA","t0","645","NA","Southern Sea of Korea","Geoje and Jeju Islands","Kim, JH et al 2010 Age, growth and reproductive biology of Filefish Thamnaconus modestus in the Southern Sea of Korea. North Pacific Marine Science Organization. PICES 2010."
"17","Thamnaconus modestus","Black scraper",2009,2010,"age at maturity","both","von Bertalanffy",1.5,"y","NA","645","NA","Southern Sea of Korea","Geoje and Jeju Islands","Kim, JH et al 2010 Age, growth and reproductive biology of Filefish Thamnaconus modestus in the Southern Sea of Korea. North Pacific Marine Science Organization. PICES 2010."
"18","Trichiurus lepturus","Largehead hairtail",1997,2000,"growth","both","von Bertalanffy",527.55,"mm","Linf","NA","ELEFAN","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"19","Trichiurus lepturus","Largehead hairtail",1997,2000,"growth","both","von Bertalanffy",0.46,"NA","k","NA","ELEFAN","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
"20","Trichiurus lepturus","Largehead hairtail",1997,2000,"natural mortality","both","Pauly's empirical equation",0.38,"NA","M","NA","NA","East China Sea","27°00'~ 34°00'N , <U+7981><U+6E14><U+533A><U+7EBF>~127°00'E","Lin, LS et al 2006 A preliminary study on fishery biology of main commercial fishes surveyed from the bottom trawl fisheries in the East China Sea. Marine Sciences 30(2)."
