"year","mean_SST","LME"
"1960",26.9072579751119,"South China Sea"
"1961",26.7474001015101,"South China Sea"
"1962",26.5097658263423,"South China Sea"
"1963",26.255199998462,"South China Sea"
"1964",26.7898704974832,"South China Sea"
"1965",26.725009950783,"South China Sea"
"1966",27.2332496012304,"South China Sea"
"1967",26.7222522114094,"South China Sea"
"1968",26.4377370928412,"South China Sea"
"1969",26.9721625355145,"South China Sea"
"1970",27.0093983411633,"South China Sea"
"1971",26.5216115025168,"South China Sea"
"1972",26.6143366477908,"South China Sea"
"1973",27.1491221809284,"South China Sea"
"1974",26.7105477904083,"South China Sea"
"1975",27.1166850503356,"South China Sea"
"1976",26.6432001110179,"South China Sea"
"1977",26.8469515847315,"South China Sea"
"1978",26.8854239001678,"South China Sea"
"1979",26.9514967637025,"South China Sea"
"1980",26.9637120953579,"South China Sea"
"1981",26.9282019728747,"South China Sea"
"1982",26.8227520426454,"South China Sea"
"1983",27.2340829513423,"South China Sea"
"1984",26.8385717827181,"South China Sea"
"1985",26.8242473059284,"South China Sea"
"1986",26.7759523059284,"South China Sea"
"1987",27.4280233783557,"South China Sea"
"1988",27.5619816596756,"South China Sea"
"1989",26.9832974739933,"South China Sea"
"1990",27.0058672284676,"South China Sea"
"1991",27.0911440841723,"South China Sea"
"1992",26.9842962329418,"South China Sea"
"1993",27.138336344519,"South China Sea"
"1994",27.1147938621365,"South China Sea"
"1995",27.1871587259508,"South China Sea"
"1996",27.0334203903803,"South China Sea"
"1997",27.1065126893177,"South China Sea"
"1998",27.8996668615772,"South China Sea"
"1999",27.496993385906,"South China Sea"
"2000",27.2745428274608,"South China Sea"
"2001",27.5480940687919,"South China Sea"
"2002",27.3836745472595,"South China Sea"
"2003",27.4007467362975,"South China Sea"
"2004",27.1380765604027,"South China Sea"
"2005",27.202731110179,"South China Sea"
"2006",27.3481846356264,"South China Sea"
"2007",27.3973151029083,"South China Sea"
"2008",27.3766745198546,"South China Sea"
"2009",27.1726947301454,"South China Sea"
"2010",27.5429122581096,"South China Sea"
"2011",27.0434341174497,"South China Sea"
